DecisionID,Domain,DecisionType,Entity,PriorityScore,ImpactScore,BusinessRiskScore,Confidence,ModelConfidence,BusinessConfidence,HistoricalAccuracy,RecommendationReliability,ExpectedROI,FinancialImpact,TimeSensitivity
DI-00013,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.3,0.7692392667164486,47.6,84.13,78.68537442584928,93.8155010675841,78.68537442584928,84.13,-57.34,443.18,Monitor
DI-00014,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.3,0.7692392667164486,47.6,84.13,78.68537442584928,93.8155010675841,78.68537442584928,84.13,-57.34,443.18,Monitor
DI-00015,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.3,0.7692392667164486,47.6,84.13,78.68537442584928,93.8155010675841,78.68537442584928,84.13,-57.34,443.18,Monitor
DI-00016,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.29,0.745040650141126,47.6,84.13,78.68537442584928,93.81259723359506,78.68537442584928,84.13,-58.63,429.23,Monitor
DI-00017,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.29,0.745040650141126,47.6,84.13,78.68537442584928,93.81259723359506,78.68537442584928,84.13,-58.63,429.23,Monitor
DI-00018,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.29,0.745040650141126,47.6,84.13,78.68537442584928,93.81259723359506,78.68537442584928,84.13,-58.63,429.23,Monitor
DI-00019,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.28,0.7301657504169552,47.6,84.13,78.68537442584928,93.81081224562816,78.68537442584928,84.13,-59.43,420.66,Monitor
DI-00020,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.28,0.7301657504169552,47.6,84.13,78.68537442584928,93.81081224562816,78.68537442584928,84.13,-59.43,420.66,Monitor
DI-00021,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.28,0.7301657504169552,47.6,84.13,78.68537442584928,93.81081224562816,78.68537442584928,84.13,-59.43,420.66,Monitor
DI-00022,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.28,0.7079255580006181,47.6,84.13,78.68537442584928,93.8081434225382,78.68537442584928,84.13,-60.62,407.85,Monitor
DI-00023,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.28,0.7079255580006181,47.6,84.13,78.68537442584928,93.8081434225382,78.68537442584928,84.13,-60.62,407.85,Monitor
DI-00024,Inventory,Supplier Escalation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,44.28,0.7079255580006181,47.6,84.13,78.68537442584928,93.8081434225382,78.68537442584928,84.13,-60.62,407.85,Monitor
DI-00025,Inventory,Reduce Overstock,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,44.24,17.289068861755105,34.63,85.63,78.68537442584928,97.98284080822128,78.68537442584928,85.63,573.14,9960.6,Monitor
DI-00026,Churn,Retain High Value Customer,15760,43.72,9.928325847526297,24.08,100.0,100.0,100.0,100.0,100.0,380.61,5719.92,Monitor
DI-00027,Churn,Retain High Value Customer,15768,43.65,12.165725536946363,24.25,100.0,100.0,100.0,100.0,100.0,433.27,7008.93,Monitor
DI-00028,Churn,Retain High Value Customer,17448,42.86,11.314407406139914,23.53,100.0,100.0,100.0,100.0,100.0,418.4,6518.47,Monitor
DI-00029,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,42.27,4.471108530623419,41.92,84.5,78.68537442584928,94.8489330236748,78.68537442584928,84.5,122.74,2575.9,Monitor
DI-00030,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,42.27,4.471108530623419,41.92,84.5,78.68537442584928,94.8489330236748,78.68537442584928,84.5,122.74,2575.9,Monitor
DI-00031,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,42.27,4.471108530623419,41.92,84.5,78.68537442584928,94.8489330236748,78.68537442584928,84.5,122.74,2575.9,Monitor
DI-00032,Churn,Retain High Value Customer,12918,42.26,6.943204465871598,22.85,100.0,100.0,100.0,100.0,100.0,296.19,4000.13,Monitor
DI-00033,Churn,Retain High Value Customer,18052,42.05,6.868718294325546,22.66,100.0,100.0,100.0,100.0,100.0,294.62,3957.21,Monitor
DI-00034,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.97,3.60749829332416,41.92,84.47,78.68537442584928,94.74529979519889,78.68537442584928,84.47,87.32,2078.36,Monitor
DI-00035,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.97,3.60749829332416,41.92,84.47,78.68537442584928,94.74529979519889,78.68537442584928,84.47,87.32,2078.36,Monitor
DI-00036,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.97,3.60749829332416,41.92,84.47,78.68537442584928,94.74529979519889,78.68537442584928,84.47,87.32,2078.36,Monitor
DI-00037,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.97,3.60749829332416,41.92,84.47,78.68537442584928,94.74529979519889,78.68537442584928,84.47,87.32,2078.36,Monitor
DI-00038,Churn,Retain High Value Customer,14091,41.67,7.018207545135234,22.3,100.0,100.0,100.0,100.0,100.0,302.07,4043.34,Monitor
DI-00039,Inventory,Warehouse Transfer,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,41.61,0.8059428745442094,37.61,85.05,78.68537442584928,96.36591314494531,78.68537442584928,85.05,-38.69,464.32,Monitor
DI-00040,Inventory,Warehouse Transfer,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,41.59,0.7321278677703856,37.61,85.05,78.68537442584928,96.35705534413245,78.68537442584928,85.05,-44.05,421.79,Monitor
DI-00041,Inventory,Warehouse Transfer,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,41.59,0.7562959198361123,37.61,85.05,78.68537442584928,96.35995551038033,78.68537442584928,85.05,-42.29,435.72,Monitor
DI-00042,Inventory,Warehouse Transfer,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,41.58,0.7239286217305076,37.61,85.05,78.68537442584928,96.35607143460766,78.68537442584928,85.05,-44.65,417.07,Monitor
DI-00043,Inventory,Warehouse Transfer,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,41.58,0.7153376940145488,37.61,85.05,78.68537442584928,96.35504052328174,78.68537442584928,85.05,-45.28,412.12,Monitor
DI-00044,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,41.53,2.338290065830593,41.92,84.41,78.68537442584928,94.59299480789967,78.68537442584928,84.41,29.47,1347.14,Monitor
DI-00045,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,41.53,2.338290065830593,41.92,84.41,78.68537442584928,94.59299480789967,78.68537442584928,84.41,29.47,1347.14,Monitor
DI-00046,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,41.53,2.338290065830593,41.92,84.41,78.68537442584928,94.59299480789967,78.68537442584928,84.41,29.47,1347.14,Monitor
DI-00047,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.29,1.6707944075799068,41.92,84.38,78.68537442584928,94.51289532890958,78.68537442584928,84.38,-4.14,962.58,Monitor
DI-00048,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.29,1.6707944075799068,41.92,84.38,78.68537442584928,94.51289532890958,78.68537442584928,84.38,-4.14,962.58,Monitor
DI-00049,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.29,1.6707944075799068,41.92,84.38,78.68537442584928,94.51289532890958,78.68537442584928,84.38,-4.14,962.58,Monitor
DI-00050,Inventory,Warehouse Transfer,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,41.27,3.7723178012937515,31.3,85.81,78.68537442584928,98.48867813615526,78.68537442584928,85.81,166.63,2173.31,Monitor
DI-00051,Inventory,Reduce Overstock,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,41.26,7.357461661645768,36.07,85.09,78.68537442584928,96.47611259862495,78.68537442584928,85.09,307.58,4238.79,Monitor
DI-00052,Churn,Retain High Value Customer,14028,41.24,7.519664308924208,21.89,100.0,100.0,100.0,100.0,100.0,321.9,4332.24,Monitor
DI-00053,Inventory,Warehouse Transfer,BROCADE RING PURSE  | United Kingdom | Accessories,41.21,2.3891648967325056,33.24,85.56,78.68537442584928,97.7794997876079,78.68537442584928,85.56,77.46,1376.45,Monitor
DI-00054,Inventory,Supplier Escalation,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,41.15,7.038688773942865,36.07,85.08,78.68537442584928,96.4378598521006,78.68537442584928,85.08,235.18,4055.14,Monitor
DI-00055,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.14,1.222970227692053,41.92,84.36,78.68537442584928,94.45915642732304,78.68537442584928,84.36,-28.09,704.58,Monitor
DI-00056,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.14,1.222970227692053,41.92,84.36,78.68537442584928,94.45915642732304,78.68537442584928,84.36,-28.09,704.58,Monitor
DI-00057,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.14,1.222970227692053,41.92,84.36,78.68537442584928,94.45915642732304,78.68537442584928,84.36,-28.09,704.58,Monitor
DI-00058,Inventory,Warehouse Transfer,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,41.11,3.075452656255247,31.68,85.75,78.68537442584928,98.29865431875062,78.68537442584928,85.75,124.92,1771.83,Monitor
DI-00059,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,41.09,1.084613191539607,41.92,84.36,78.68537442584928,94.44255358298474,78.68537442584928,84.36,-35.73,624.87,Monitor
DI-00060,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,41.09,1.084613191539607,41.92,84.36,78.68537442584928,94.44255358298474,78.68537442584928,84.36,-35.73,624.87,Monitor
DI-00061,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.09,1.0769272322354566,41.92,84.36,78.68537442584928,94.44163126786825,78.68537442584928,84.36,-36.16,620.44,Monitor
DI-00062,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,41.09,1.084613191539607,41.92,84.36,78.68537442584928,94.44255358298474,78.68537442584928,84.36,-35.73,624.87,Monitor
DI-00063,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.09,1.0769272322354566,41.92,84.36,78.68537442584928,94.44163126786825,78.68537442584928,84.36,-36.16,620.44,Monitor
DI-00064,Inventory,Supplier Escalation,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.09,1.0769272322354566,41.92,84.36,78.68537442584928,94.44163126786825,78.68537442584928,84.36,-36.16,620.44,Monitor
DI-00065,Inventory,Warehouse Transfer,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,41.07,1.9786443472464843,33.24,85.54,78.68537442584928,97.73023732166958,78.68537442584928,85.54,50.65,1139.94,Monitor
DI-00066,Inventory,Reduce Overstock,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,41.05,8.171643548566973,34.63,85.24,78.68537442584928,96.88874977063871,78.68537442584928,85.24,344.35,4707.86,Monitor
DI-00067,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,41.03,0.9314593339475307,41.92,84.35,78.68537442584928,94.4241751200737,78.68537442584928,84.35,-44.33,536.63,Monitor
DI-00068,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,41.03,0.9314593339475307,41.92,84.35,78.68537442584928,94.4241751200737,78.68537442584928,84.35,-44.33,536.63,Monitor
DI-00069,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,41.03,0.9314593339475307,41.92,84.35,78.68537442584928,94.4241751200737,78.68537442584928,84.35,-44.33,536.63,Monitor
DI-00070,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,40.98,0.7845948237634195,41.92,84.34,78.68537442584928,94.4065513788516,78.68537442584928,84.34,-52.72,452.02,Monitor
DI-00071,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,40.98,0.7845948237634195,41.92,84.34,78.68537442584928,94.4065513788516,78.68537442584928,84.34,-52.72,452.02,Monitor
DI-00072,Inventory,Supplier Escalation,BROCADE RING PURSE  | United Kingdom | Accessories,40.98,0.7845948237634195,41.92,84.34,78.68537442584928,94.4065513788516,78.68537442584928,84.34,-52.72,452.02,Monitor
DI-00073,Inventory,Warehouse Transfer,BROCADE RING PURSE  | United Kingdom | Accessories,40.91,1.5315230069488448,33.24,85.52,78.68537442584928,97.67658276083387,78.68537442584928,85.52,19.87,882.34,Monitor
DI-00074,Churn,Retain High Value Customer,17133,40.81,7.73040682786883,21.51,100.0,100.0,100.0,100.0,100.0,331.26,4453.65,Monitor
DI-00075,Inventory,Warehouse Transfer,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,40.73,0.9951616528997943,33.24,85.5,78.68537442584928,97.61221939834797,78.68537442584928,85.5,-19.4,573.33,Monitor
DI-00076,Inventory,Warehouse Transfer,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,40.66,2.022023648552106,31.3,85.74,78.68537442584928,98.27864283782625,78.68537442584928,85.74,58.61,1164.93,Monitor
DI-00077,Inventory,Warehouse Transfer,BROCADE RING PURSE  | United Kingdom | Accessories,40.63,0.7160007854268098,33.24,85.49,78.68537442584928,97.57872009425122,78.68537442584928,85.49,-40.94,412.5,Monitor
DI-00078,Inventory,Warehouse Transfer,BROCADE RING PURSE  | United Kingdom | Accessories,40.63,0.7298802679660694,33.24,85.49,78.68537442584928,97.58038563215594,78.68537442584928,85.49,-39.85,420.5,Monitor
DI-00079,Inventory,Warehouse Transfer,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,40.59,1.5938644385145233,31.68,85.68,78.68537442584928,98.12086373262174,78.68537442584928,85.68,27.63,918.26,Monitor
DI-00080,Forecasting,Increase Inventory,Global Revenue,40.41,0.5675586406608245,55.8,33.89,0.0,94.12743723761515,0.0,33.89,-66.42,326.98,Monitor
DI-00081,Forecasting,Increase Inventory,United Kingdom,40.41,0.5675586406608245,55.8,33.89,0.0,94.12743723761515,0.0,33.89,-66.42,326.98,Monitor
DI-00082,Forecasting,Increase Inventory,Global Revenue,40.28,0.5637768209076781,55.59,33.89,0.0,94.14982176240183,0.0,33.89,-66.55,324.8,Monitor
DI-00083,Forecasting,Increase Inventory,United Kingdom,40.28,0.5637768209076781,55.59,33.89,0.0,94.14982176240183,0.0,33.89,-66.55,324.8,Monitor
DI-00084,Forecasting,Increase Inventory,Global Revenue,40.16,0.5599950011545322,55.38,33.9,0.0,94.17238606777099,0.0,33.9,-66.67,322.62,Monitor
DI-00085,Forecasting,Increase Inventory,United Kingdom,40.16,0.5599950011545322,55.38,33.9,0.0,94.17238606777099,0.0,33.9,-66.67,322.62,Monitor
DI-00086,Forecasting,Increase Inventory,Global Revenue,40.04,0.556213181401386,55.18,33.91,0.0,94.19233421950577,0.0,33.91,-66.81,320.45,Monitor
DI-00087,Forecasting,Increase Inventory,United Kingdom,40.04,0.556213181401386,55.18,33.91,0.0,94.19233421950577,0.0,33.91,-66.81,320.45,Monitor
DI-00088,Inventory,Reduce Overstock,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,39.97,3.6666774330939047,36.07,84.93,78.68537442584928,96.03321849119872,78.68537442584928,84.93,142.85,2112.45,Monitor
DI-00089,Forecasting,Increase Inventory,United Kingdom,39.92,0.5524313616482398,54.97,33.92,0.0,94.21527040691883,0.0,33.92,-66.94,318.27,Monitor
DI-00090,Forecasting,Increase Inventory,Global Revenue,39.92,0.5524313616482398,54.97,33.92,0.0,94.21527040691883,0.0,33.92,-66.94,318.27,Monitor
DI-00091,Inventory,Supplier Escalation,ASSORTED COLOUR BIRD ORNAMENT | United Kingdom | Decor,39.9,3.455374363021354,36.07,84.92,78.68537442584928,96.00786212279002,78.68537442584928,84.92,96.14,1990.71,Monitor
DI-00092,Forecasting,Increase Inventory,Global Revenue,39.8,0.5486495418950936,54.76,33.93,0.0,94.23839894757965,0.0,33.93,-67.07,316.09,Monitor
DI-00093,Forecasting,Increase Inventory,United Kingdom,39.8,0.5486495418950936,54.76,33.93,0.0,94.23839894757965,0.0,33.93,-67.07,316.09,Monitor
DI-00094,Churn,Retain High Value Customer,14160,39.69,6.478875050756478,20.49,100.0,100.0,100.0,100.0,100.0,293.08,3732.62,Monitor
DI-00095,Forecasting,Increase Inventory,United Kingdom,39.68,0.5448677221419476,54.55,33.93,0.0,94.26172429226074,0.0,33.93,-67.2,313.91,Monitor
DI-00096,Forecasting,Increase Inventory,Global Revenue,39.68,0.5448677221419476,54.55,33.93,0.0,94.26172429226074,0.0,33.93,-67.2,313.91,Monitor
DI-00097,Inventory,Reduce Overstock,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,39.67,4.211124830646609,34.63,85.07,78.68537442584928,96.41348752448827,78.68537442584928,85.07,176.65,2426.12,Monitor
DI-00098,Forecasting,Increase Inventory,United Kingdom,39.56,0.5410859023888015,54.34,33.94,0.0,94.28525103011434,0.0,33.94,-67.33,311.73,Monitor
DI-00099,Forecasting,Increase Inventory,Global Revenue,39.56,0.5410859023888015,54.34,33.94,0.0,94.28525103011434,0.0,33.94,-67.33,311.73,Monitor
DI-00100,Customer,Upsell Premium Products,Loyal Customers,39.42,24.21242999975161,8.59,100.0,100.0,100.0,100.0,100.0,846.79,13949.29,Monitor
DI-00101,Churn,Retain High Value Customer,12758,39.4,6.0171939616877195,20.23,100.0,100.0,100.0,100.0,100.0,276.54,3466.63,Monitor
DI-00102,Churn,Retain High Value Customer,16118,39.33,2.7663798652877123,20.38,100.0,100.0,100.0,100.0,100.0,113.62,1593.77,Monitor
DI-00103,Churn,Retain High Value Customer,13680,39.32,6.423035144813722,20.16,100.0,100.0,100.0,100.0,100.0,292.96,3700.45,Monitor
DI-00104,Customer,Upsell Premium Products,Loyal Customers,39.25,23.852487489741094,8.56,100.0,100.0,100.0,100.0,100.0,843.59,13741.92,Monitor
DI-00105,Inventory,Reduce Overstock,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,39.19,2.8419228447685905,34.63,85.01,78.68537442584928,96.24918328618291,78.68537442584928,85.01,101.18,1637.29,Monitor
DI-00106,Churn,Retain High Value Customer,14607,39.19,6.276048028866746,20.03,100.0,100.0,100.0,100.0,100.0,288.05,3615.76,Monitor
DI-00107,Churn,Retain High Value Customer,13935,39.17,4.600848512349292,20.05,100.0,100.0,100.0,100.0,100.0,215.19,2650.65,Monitor
DI-00108,Churn,Retain High Value Customer,15413,39.1,5.14745819476099,19.96,100.0,100.0,100.0,100.0,100.0,241.12,2965.56,Monitor
DI-00109,Churn,Retain High Value Customer,14459,39.01,2.2377886700964997,20.12,100.0,100.0,100.0,100.0,100.0,80.7,1289.24,Monitor
DI-00110,Churn,Retain High Value Customer,13734,38.98,5.130184862315415,19.85,100.0,100.0,100.0,100.0,100.0,240.98,2955.61,Monitor
DI-00111,Churn,Retain High Value Customer,16749,38.95,3.2424576526155158,19.94,100.0,100.0,100.0,100.0,100.0,144.05,1868.05,Monitor
DI-00112,Customer,Upsell Premium Products,Loyal Customers,38.87,23.05195537251304,8.5,100.0,100.0,100.0,100.0,100.0,836.11,13280.72,Monitor
DI-00113,Churn,Retain High Value Customer,12380,38.7,5.595162821644544,19.58,100.0,100.0,100.0,100.0,100.0,262.96,3223.49,Monitor
DI-00114,Churn,Retain High Value Customer,15480,38.51,4.414400551724704,19.43,100.0,100.0,100.0,100.0,100.0,209.52,2543.23,Monitor
DI-00115,Churn,Retain High Value Customer,14855,38.22,4.590128412634789,19.14,100.0,100.0,100.0,100.0,100.0,219.78,2644.47,Monitor
DI-00116,Churn,Retain High Value Customer,15077,38.11,2.0198437635313904,19.22,100.0,100.0,100.0,100.0,100.0,69.05,1163.67,Monitor
DI-00117,Churn,Retain High Value Customer,15369,38.11,5.134900231488618,19.03,100.0,100.0,100.0,100.0,100.0,246.02,2958.32,Monitor
DI-00118,Churn,Retain High Value Customer,16180,38.07,4.465079697897887,19.01,100.0,100.0,100.0,100.0,100.0,214.39,2572.43,Monitor
DI-00119,Churn,Retain High Value Customer,13334,38.0,2.076634190982965,19.11,100.0,100.0,100.0,100.0,100.0,73.44,1196.39,Monitor
DI-00120,Churn,Retain High Value Customer,17230,37.9,4.594273374365084,18.84,100.0,100.0,100.0,100.0,100.0,221.7,2646.86,Monitor
DI-00121,Churn,Retain High Value Customer,12957,37.89,3.814426531218224,18.86,100.0,100.0,100.0,100.0,100.0,181.51,2197.57,Monitor
DI-00122,Forecasting,Bundle Products,Global Revenue,37.77,0.5373040826356552,46.44,34.73,0.0,96.46218389409259,0.0,34.73,-63.81,309.55,Monitor
DI-00123,Forecasting,Bundle Products,United Kingdom,37.77,0.5373040826356552,46.44,34.73,0.0,96.46218389409259,0.0,34.73,-63.81,309.55,Monitor
DI-00124,Churn,Retain High Value Customer,14145,37.77,3.048356936479078,18.79,100.0,100.0,100.0,100.0,100.0,137.99,1756.22,Monitor
DI-00125,Churn,Retain High Value Customer,12469,37.75,2.1867855503314644,18.85,100.0,100.0,100.0,100.0,100.0,82.07,1259.85,Monitor
DI-00126,Churn,Retain High Value Customer,12625,37.73,1.8667451731456686,18.86,100.0,100.0,100.0,100.0,100.0,59.4,1075.47,Monitor
DI-00127,Churn,Retain High Value Customer,12737,37.73,2.591452197503244,18.79,100.0,100.0,100.0,100.0,100.0,109.37,1492.99,Monitor
DI-00128,Churn,Retain High Value Customer,16067,37.69,2.5511475771597665,18.75,100.0,100.0,100.0,100.0,100.0,106.92,1469.77,Monitor
DI-00129,Forecasting,Bundle Products,United Kingdom,37.67,0.5335222628825089,46.32,34.73,0.0,96.46092776662448,0.0,34.73,-63.99,307.37,Monitor
DI-00130,Forecasting,Bundle Products,Global Revenue,37.67,0.5335222628825089,46.32,34.73,0.0,96.46092776662448,0.0,34.73,-63.99,307.37,Monitor
DI-00131,Churn,Retain High Value Customer,17584,37.62,3.3421511276713596,18.62,100.0,100.0,100.0,100.0,100.0,156.25,1925.48,Monitor
DI-00132,Forecasting,Bundle Products,United Kingdom,37.57,0.5297404431293627,46.2,34.73,0.0,96.45988768556364,0.0,34.73,-64.18,305.19,Monitor
DI-00133,Forecasting,Bundle Products,Global Revenue,37.57,0.5297404431293627,46.2,34.73,0.0,96.45988768556364,0.0,34.73,-64.18,305.19,Monitor
DI-00134,Churn,Retain High Value Customer,12468,37.52,2.354953630922923,18.6,100.0,100.0,100.0,100.0,100.0,94.53,1356.74,Monitor
DI-00135,Forecasting,Bundle Products,United Kingdom,37.48,0.5259586233762166,46.08,34.73,0.0,96.4590688504228,0.0,34.73,-64.36,303.02,Monitor
DI-00136,Churn,Retain High Value Customer,15150,37.48,2.792929035279331,18.52,100.0,100.0,100.0,100.0,100.0,123.46,1609.07,Monitor
DI-00137,Forecasting,Bundle Products,Global Revenue,37.48,0.5259586233762166,46.08,34.73,0.0,96.4590688504228,0.0,34.73,-64.36,303.02,Monitor
DI-00138,Churn,Retain High Value Customer,15125,37.46,4.273812773281777,18.43,100.0,100.0,100.0,100.0,100.0,208.06,2462.23,Monitor
DI-00139,Churn,Retain High Value Customer,17400,37.44,2.0162643520633443,18.55,100.0,100.0,100.0,100.0,100.0,71.26,1161.61,Monitor
DI-00140,Churn,Retain High Value Customer,12744,37.39,3.15226441594091,18.41,100.0,100.0,100.0,100.0,100.0,146.09,1816.09,Monitor
DI-00141,Churn,Retain High Value Customer,15980,37.38,3.1153216066367713,18.4,100.0,100.0,100.0,100.0,100.0,143.92,1794.8,Monitor
DI-00142,Forecasting,Bundle Products,United Kingdom,37.38,0.5221768036230705,45.96,34.73,0.0,96.45847662891032,0.0,34.73,-64.55,300.84,Monitor
DI-00143,Forecasting,Bundle Products,Global Revenue,37.38,0.5221768036230705,45.96,34.73,0.0,96.45847662891032,0.0,34.73,-64.55,300.84,Monitor
DI-00144,Churn,Retain High Value Customer,12451,37.35,2.7118391425385378,18.4,100.0,100.0,100.0,100.0,100.0,118.85,1562.35,Monitor
DI-00145,Churn,Retain High Value Customer,14685,37.3,3.6040914166377696,18.29,100.0,100.0,100.0,100.0,100.0,172.93,2076.39,Monitor
