CustomerID,CustomerHealthScore,CustomerHealthScore_Heuristic,HealthBand,CustomerActivityScore,CustomerEngagementScore,RiskCategory
14607,44.36,66.46,Moderate,70.64,75.34,High
18225,97.55,97.29,VIP,97.18,84.2,Low
18223,89.96,85.06,VIP,86.58,81.12,Low
17364,93.78,91.13,VIP,91.75,85.6,Low
16873,79.43,68.53,Healthy,72.79,67.44,Low
14049,88.81,83.37,VIP,85.3,78.75,Low
15497,88.44,83.15,VIP,85.38,70.85,Low
15260,95.53,94.02,VIP,94.21,87.04,Low
13715,94.73,92.84,VIP,93.33,84.61,Low
14194,89.54,84.27,VIP,85.76,85.14,Low
13097,90.47,85.89,VIP,87.11,85.88,Low
18260,94.34,92.29,VIP,92.73,85.36,Low
14110,83.3,74.3,VIP,76.93,87.55,Low
15555,97.99,98.03,VIP,97.68,87.51,Low
12476,87.82,81.57,VIP,83.49,83.64,Low
14426,84.18,76.04,VIP,79.12,73.14,Low
16161,96.8,95.96,VIP,95.84,88.76,Low
13316,85.41,77.95,VIP,80.98,69.57,Low
12433,91.69,88.06,VIP,90.07,67.32,Low
12583,94.35,92.11,VIP,92.64,82.23,Low
12758,41.85,62.17,Moderate,67.41,63.18,High
18092,95.14,93.76,VIP,94.44,69.59,Low
16550,95.96,94.76,VIP,94.91,83.33,Low
14016,85.35,77.75,VIP,80.58,71.14,Low
12477,77.67,66.47,Healthy,72.04,45.92,Low
17409,82.05,73.07,VIP,76.32,71.37,Low
12380,43.85,65.19,Moderate,69.57,74.74,High
12731,76.36,64.1,Healthy,69.07,50.07,Low
13735,91.67,88.17,VIP,89.41,76.11,Low
15874,90.31,85.61,VIP,86.87,84.49,Low
16327,94.7,92.98,VIP,93.46,79.32,Low
16168,96.55,95.58,VIP,95.41,89.8,Low
15413,34.8,50.47,High Risk,57.12,73.19,High
14051,96.94,96.28,VIP,96.16,83.82,Low
14439,74.66,61.03,Healthy,66.71,55.4,Low
12481,93.32,90.84,VIP,92.19,68.74,Low
16258,89.2,83.91,VIP,85.57,81.13,Low
12557,88.18,82.64,VIP,85.61,54.79,Low
13734,38.72,56.01,High Risk,62.3,63.4,High
17160,93.3,90.56,VIP,91.3,79.13,Low
18226,93.18,90.19,VIP,90.82,85.73,Low
15296,80.63,70.49,VIP,74.36,67.79,Low
12524,88.51,82.74,VIP,84.6,78.83,Low
13668,91.03,86.95,VIP,87.99,83.95,Low
12989,84.45,76.0,VIP,78.33,86.01,Low
13174,94.33,92.36,VIP,92.92,77.97,Low
13488,95.55,94.17,VIP,94.43,80.65,Low
13199,97.54,97.34,VIP,96.9,88.71,Low
14733,89.37,84.33,VIP,87.05,66.5,Low
17504,90.55,86.25,VIP,87.64,77.22,Low
13050,97.27,96.78,VIP,96.46,86.57,Low
14866,94.55,92.76,VIP,93.44,78.68,Low
16131,89.54,84.89,VIP,86.91,64.9,Low
13113,96.82,95.97,VIP,95.85,84.58,Low
17085,93.92,91.48,VIP,91.78,87.91,Low
13327,97.18,96.83,VIP,96.59,83.75,Low
15369,45.1,66.62,Moderate,70.29,82.29,High
13758,95.5,94.29,VIP,94.57,77.37,Low
15281,89.97,85.44,VIP,87.17,79.94,Low
14735,90.71,86.16,VIP,87.09,88.35,Low
15270,87.46,81.12,VIP,82.82,82.33,Low
14415,91.41,87.59,VIP,88.68,78.54,Low
13935,32.73,47.04,High Risk,54.88,56.69,High
12435,80.86,71.09,VIP,75.4,54.92,Low
16923,93.35,90.62,VIP,91.15,83.92,Low
13418,94.82,93.09,VIP,93.25,84.11,Low
16709,90.99,86.87,VIP,88.12,76.11,Low
14505,85.8,78.91,VIP,81.0,80.77,Low
13941,94.01,91.76,VIP,92.23,78.84,Low
14422,93.69,91.22,VIP,91.66,82.65,Low
15202,75.05,61.32,Healthy,67.34,58.18,Low
12835,84.72,76.31,VIP,78.38,89.99,Low
16180,41.52,60.33,Moderate,65.59,71.52,High
13004,90.94,86.5,VIP,87.39,86.04,Low
15981,87.3,80.41,VIP,82.18,83.41,Low
17809,94.35,92.29,VIP,92.67,79.51,Low
16984,83.93,75.52,VIP,78.41,73.24,Low
14855,41.03,60.69,Moderate,65.88,69.33,High
13615,84.52,76.88,VIP,79.59,70.8,Low
14030,96.49,95.85,VIP,95.63,83.49,Low
14676,84.48,76.76,VIP,79.68,68.62,Low
16814,95.61,94.21,VIP,94.14,85.75,Low
17230,42.02,62.11,Moderate,66.3,82.31,High
15984,96.38,95.42,VIP,95.12,87.36,Low
16839,94.56,92.73,VIP,93.02,80.51,Low
15218,88.81,83.39,VIP,84.84,81.06,Low
13448,92.58,89.75,VIP,90.56,75.87,Low
12539,71.0,55.68,Healthy,62.34,41.25,Low
14085,96.0,94.81,VIP,94.64,85.01,Low
13999,94.17,91.92,VIP,92.09,85.18,Low
15144,91.99,88.44,VIP,89.18,81.95,Low
13629,82.99,74.71,VIP,77.49,64.78,Low
13047,94.49,92.56,VIP,92.64,84.9,Low
16558,97.1,96.58,VIP,96.11,86.53,Low
15125,44.37,65.87,Moderate,69.63,81.76,High
16985,92.83,89.91,VIP,90.41,82.56,Low
17017,96.87,96.34,VIP,96.03,82.3,Low
14249,85.3,77.82,VIP,79.87,83.29,Low
17338,91.78,88.41,VIP,89.34,78.5,Low
17696,91.76,87.97,VIP,88.56,86.64,Low
15950,89.41,84.67,VIP,86.52,66.43,Low
15480,38.93,58.37,High Risk,64.11,54.08,High
15023,94.28,92.1,VIP,92.46,79.05,Low
15179,86.88,80.4,VIP,82.42,72.75,Low
15465,95.43,93.96,VIP,93.85,84.02,Low
13102,97.12,96.6,VIP,96.18,85.71,Low
13141,90.05,85.47,VIP,86.53,81.79,Low
17576,97.71,97.67,VIP,96.98,87.82,Low
14146,87.75,82.19,VIP,84.12,70.82,Low
17107,80.34,70.52,VIP,74.71,54.42,Low
14113,92.8,90.03,VIP,90.5,81.3,Low
13267,96.89,96.35,VIP,95.86,85.67,Low
15867,95.62,94.2,VIP,93.99,85.58,Low
12755,95.87,94.9,VIP,94.87,76.07,Low
12497,73.18,59.55,Healthy,66.39,32.35,Low
15998,87.81,82.06,VIP,83.56,80.34,Low
13090,96.87,96.25,VIP,95.87,85.74,Low
13069,95.62,94.04,VIP,93.85,87.5,Low
15719,91.91,88.32,VIP,88.8,84.97,Low
15547,92.44,89.42,VIP,89.93,81.53,Low
14154,87.38,81.58,VIP,83.74,66.21,Low
15570,95.15,93.67,VIP,93.55,85.44,Low
17146,81.38,71.19,VIP,74.09,80.02,Low
14769,87.57,81.57,VIP,83.25,76.54,Low
12747,95.48,94.01,VIP,93.8,84.5,Low
12474,92.34,89.29,VIP,89.74,83.56,Low
16186,94.66,92.81,VIP,92.75,83.01,Low
13599,96.46,95.63,VIP,95.24,83.28,Low
16170,87.93,82.14,VIP,83.43,83.93,Low
14755,91.39,87.62,VIP,88.23,83.6,Low
12643,86.64,79.96,VIP,82.28,67.97,Low
14135,95.13,93.77,VIP,93.74,79.71,Low
17739,92.85,90.13,VIP,90.55,79.74,Low
13869,87.23,81.52,VIP,83.63,66.37,Low
14329,91.21,87.37,VIP,88.39,73.43,Low
12705,85.48,78.45,VIP,81.19,67.34,Low
15332,92.51,89.51,VIP,90.61,73.54,Low
12843,91.81,88.01,VIP,88.41,87.79,Low
16008,90.54,86.33,VIP,87.14,80.19,Low
14243,94.67,93.21,VIP,93.49,79.64,Low
13576,93.35,90.74,VIP,91.05,79.71,Low
17157,45.38,68.43,Moderate,71.33,81.59,High
16546,87.72,81.59,VIP,84.27,64.89,Low
13148,89.21,84.23,VIP,85.2,83.82,Low
15194,95.51,94.19,VIP,93.92,82.9,Low
13831,94.78,93.26,VIP,93.13,82.84,Low
13555,90.9,87.14,VIP,88.03,77.65,Low
12971,97.28,96.94,VIP,96.13,89.27,Low
18231,86.84,80.45,VIP,81.75,88.4,Low
16103,89.45,84.56,VIP,85.42,85.28,Low
12823,87.73,82.21,VIP,83.45,70.77,Low
14105,78.59,67.95,Healthy,72.29,53.53,Low
13958,90.0,85.6,VIP,86.77,73.79,Low
16556,92.01,88.85,VIP,89.41,77.72,Low
12957,38.59,56.59,High Risk,61.98,65.54,High
15805,90.24,85.62,VIP,86.41,83.1,Low
15298,95.73,94.82,VIP,94.5,81.39,Low
14395,94.03,91.78,VIP,91.83,84.29,Low
16456,92.41,89.42,VIP,89.97,79.34,Low
17873,93.97,91.76,VIP,91.73,82.43,Low
15544,93.99,91.76,VIP,91.81,81.88,Low
17068,96.36,95.38,VIP,94.73,89.24,Low
16320,73.16,59.19,Healthy,64.58,53.43,Low
13381,88.47,82.69,VIP,84.54,66.09,Low
14461,89.91,85.22,VIP,86.19,79.45,Low
17965,97.13,96.81,VIP,96.06,85.66,Low
16200,89.68,85.21,VIP,86.18,77.8,Low
14685,40.42,59.57,Moderate,63.93,79.31,High
18041,97.4,97.18,VIP,96.32,87.3,Low
13426,90.52,86.18,VIP,86.89,81.5,Low
16701,83.44,74.75,VIP,76.84,83.1,Low
18178,83.73,75.54,VIP,78.04,72.61,Low
17308,75.11,61.6,Healthy,67.95,42.59,Low
15674,82.59,73.33,VIP,75.95,73.6,Low
12839,95.59,94.38,VIP,94.0,81.32,Low
13983,95.0,93.75,VIP,93.61,78.06,Low
14648,85.0,77.02,VIP,78.73,85.24,Low
14175,79.08,68.17,Healthy,72.03,64.52,Low
12422,88.05,82.38,VIP,83.45,83.91,Low
12490,91.78,88.23,VIP,88.7,79.15,Low
18055,91.97,88.57,VIP,89.61,74.63,Low
17611,83.65,75.27,VIP,77.25,83.31,Low
16118,20.02,27.57,High Risk,39.43,32.98,Critical
12431,93.66,91.35,VIP,91.31,82.94,Low
18061,96.7,96.15,VIP,95.37,85.24,Low
14081,93.38,91.02,VIP,91.27,75.87,Low
14292,82.77,73.62,VIP,76.31,74.7,Low
13590,92.66,89.67,VIP,89.87,81.19,Low
14918,83.32,75.0,VIP,77.5,72.05,Low
15633,44.26,65.87,Moderate,68.99,83.93,High
15694,96.23,95.53,VIP,94.98,78.88,Low
15750,95.64,94.66,VIP,94.22,81.43,Low
13329,93.18,90.87,VIP,91.37,66.8,Low
12567,92.83,90.13,VIP,90.72,71.27,Low
16858,94.21,92.3,VIP,92.27,77.77,Low
16125,95.65,94.58,VIP,94.05,83.54,Low
13044,44.02,65.42,Moderate,68.74,82.16,High
17049,91.98,88.64,VIP,89.05,80.28,Low
16938,85.74,79.23,VIP,81.61,61.8,Low
14440,94.99,93.81,VIP,93.66,75.58,Low
13373,74.65,61.79,Healthy,67.23,44.2,Low
14936,81.68,72.63,VIP,76.18,57.7,Low
13969,97.14,96.8,VIP,95.88,87.39,Low
16722,95.48,94.17,VIP,93.8,79.76,Low
17457,90.38,86.23,VIP,87.0,72.29,Low
15955,92.77,89.88,VIP,90.19,77.39,Low
12683,94.45,92.9,VIP,92.94,73.61,Low
12913,93.81,91.55,VIP,91.64,75.04,Low
15727,87.42,81.55,VIP,83.0,74.06,Low
13317,90.14,85.37,VIP,85.97,82.8,Low
16945,88.34,82.73,VIP,83.62,84.23,Low
16279,86.13,79.58,VIP,81.62,69.94,Low
12510,43.45,64.89,Moderate,68.56,71.96,High
17508,88.09,82.77,VIP,84.2,68.66,Low
13451,87.16,81.15,VIP,82.98,68.58,Low
17593,81.29,72.18,VIP,75.13,64.5,Low
16749,27.66,40.45,High Risk,49.26,35.47,Critical
17700,90.14,85.55,VIP,86.27,78.55,Low
15980,38.05,56.21,High Risk,61.75,65.07,High
13854,96.65,96.28,VIP,95.41,83.34,Low
15622,80.83,70.88,VIP,73.61,77.21,Low
17735,93.63,91.23,VIP,91.42,79.09,Low
15898,96.19,95.46,VIP,94.59,87.54,Low
14282,94.84,93.34,VIP,92.99,80.54,Low
13394,91.19,87.38,VIP,87.77,80.0,Low
15521,84.86,77.12,VIP,79.06,74.64,Low
16700,95.76,94.87,VIP,94.21,81.22,Low
14766,92.16,89.09,VIP,89.87,67.69,Low
15581,96.78,96.37,VIP,95.33,88.57,Low
17584,38.71,57.69,High Risk,63.0,58.49,High
14025,43.81,65.56,Moderate,68.92,78.36,High
12589,79.59,69.26,Healthy,72.51,66.37,Low
12744,38.88,58.33,High Risk,63.54,61.12,High
17138,84.93,77.73,VIP,79.91,68.23,Low
14291,91.25,87.06,VIP,87.4,82.08,Low
13931,87.14,80.66,VIP,82.0,76.73,Low
15372,77.02,65.65,Healthy,69.13,73.12,Low
17307,86.76,80.52,VIP,81.72,79.22,Low
13756,94.36,92.72,VIP,92.46,78.22,Low
16954,91.16,87.31,VIP,87.65,80.73,Low
14101,86.12,79.71,VIP,81.41,62.77,Low
13137,87.78,81.84,VIP,83.12,80.27,Low
17238,94.84,93.12,VIP,92.52,85.52,Low
16735,86.51,80.23,VIP,81.59,76.4,Low
14709,91.31,87.72,VIP,87.93,81.37,Low
17091,94.73,93.24,VIP,92.81,80.4,Low
15321,79.74,69.43,Healthy,72.13,79.58,Low
13542,92.73,90.0,VIP,89.77,85.32,Low
17625,73.28,59.53,Healthy,64.53,54.45,Low
15034,85.68,78.95,VIP,80.92,69.41,Low
14210,93.69,91.48,VIP,91.25,79.25,Low
12836,88.11,82.62,VIP,83.5,80.51,Low
13157,79.96,70.02,Healthy,73.34,63.46,Low
17204,88.06,82.6,VIP,84.34,66.19,Low
17231,89.1,83.92,VIP,84.46,84.65,Low
16670,86.53,80.17,VIP,81.49,75.09,Low
13883,84.99,77.73,VIP,79.26,78.46,Low
14944,85.84,79.24,VIP,80.93,71.1,Low
15823,83.61,76.86,VIP,80.18,46.49,Low
13446,81.75,72.07,VIP,74.23,82.71,Low
14560,92.4,89.33,VIP,89.07,85.73,Low
17829,77.95,67.12,Healthy,71.12,55.35,Low
14841,90.98,87.4,VIP,87.9,73.57,Low
16992,87.44,81.29,VIP,82.55,75.96,Low
14145,36.5,53.99,High Risk,60.14,49.25,High
14286,78.39,68.17,Healthy,72.03,53.13,Low
16242,87.87,82.52,VIP,83.77,73.53,Low
16710,94.84,93.32,VIP,92.69,82.59,Low
12867,83.0,74.63,VIP,77.06,64.54,Low
15903,86.76,80.85,VIP,82.74,56.0,Low
14525,80.64,70.4,VIP,72.99,75.86,Low
16636,73.9,60.48,Healthy,65.27,58.86,Low
17838,95.09,94.17,VIP,93.58,77.51,Low
16732,75.73,64.19,Healthy,69.03,44.1,Low
14442,79.26,68.74,Healthy,72.13,61.88,Low
17757,95.9,94.88,VIP,93.82,88.99,Low
12917,81.37,72.04,VIP,75.01,61.72,Low
17802,91.93,88.67,VIP,88.95,73.79,Low
18245,91.58,87.94,VIP,87.94,84.67,Low
17092,78.61,67.17,Healthy,70.28,73.28,Low
12429,91.46,87.71,VIP,88.71,65.85,Low
16497,85.18,77.55,VIP,78.74,86.07,Low
13082,82.81,73.57,VIP,75.4,82.62,Low
13107,79.48,68.97,Healthy,72.3,63.81,Low
12737,31.45,45.07,High Risk,53.03,56.59,High
16772,73.05,59.4,Healthy,64.79,40.77,Low
16570,90.68,86.54,VIP,86.86,79.24,Low
16592,92.21,89.21,VIP,89.06,80.12,Low
15150,36.21,54.2,High Risk,60.23,54.15,High
18064,79.21,67.92,Healthy,70.63,79.78,Low
13136,90.62,86.64,VIP,87.12,74.23,Low
15785,90.84,87.07,VIP,87.23,79.51,Low
12451,36.04,53.53,High Risk,59.62,58.48,High
16409,88.15,83.01,VIP,84.08,69.88,Low
15755,90.9,87.06,VIP,87.21,80.13,Low
13654,85.7,79.38,VIP,81.36,59.7,Low
14625,91.58,88.12,VIP,88.28,75.57,Low
16072,72.7,58.38,Healthy,63.85,51.37,Low
16253,78.18,67.31,Healthy,70.78,60.77,Low
15786,70.13,54.66,Healthy,61.36,36.47,Low
12356,81.76,72.31,VIP,76.03,57.48,Low
15502,89.55,85.39,VIP,86.59,63.61,Low
13269,94.59,92.83,VIP,92.08,82.9,Low
14459,18.76,27.04,Critical,38.47,32.98,Critical
15482,86.37,80.32,VIP,81.68,71.57,Low
18229,94.71,93.14,VIP,92.55,76.85,Low
16336,76.58,64.41,Healthy,68.57,58.69,Low
12633,80.55,71.1,VIP,74.94,49.79,Low
14844,78.48,66.87,Healthy,70.11,71.46,Low
13763,70.44,54.62,Healthy,61.28,50.77,Low
12759,84.41,76.67,VIP,78.92,59.91,Low
14388,92.3,89.39,VIP,89.33,76.43,Low
13634,92.28,89.29,VIP,89.08,80.53,Low
15299,89.71,85.65,VIP,86.52,67.0,Low
13593,87.67,81.93,VIP,82.8,78.01,Low
15673,74.84,61.54,Healthy,65.67,64.79,Low
15159,80.56,70.33,VIP,73.71,66.43,Low
18065,89.02,84.02,VIP,84.29,85.0,Low
12613,83.57,75.73,VIP,78.07,60.11,Low
12841,94.78,93.24,VIP,92.31,88.17,Low
15641,84.95,77.6,VIP,79.09,74.32,Low
13230,96.53,96.09,VIP,94.8,86.69,Low
12615,77.48,65.94,Healthy,69.84,53.8,Low
13815,78.44,67.63,Healthy,71.31,54.96,Low
12623,80.11,70.04,VIP,72.81,68.34,Low
14702,95.89,95.28,VIP,94.17,81.84,Low
17876,76.82,65.07,Healthy,69.59,44.69,Low
17365,86.22,80.21,VIP,81.5,71.59,Low
14800,90.91,86.63,VIP,87.31,75.45,Low
12455,73.46,59.32,Healthy,64.02,56.43,Low
15129,89.34,84.43,VIP,84.71,83.13,Low
15812,78.47,67.42,Healthy,70.29,67.27,Low
13324,80.13,70.11,VIP,72.49,74.61,Low
14514,77.3,65.57,Healthy,68.86,67.05,Low
13658,82.82,74.67,VIP,77.43,54.09,Low
14060,95.19,94.36,VIP,93.33,84.04,Low
16940,74.91,61.57,Healthy,65.6,61.75,Low
18094,76.04,63.97,Healthy,67.45,66.86,Low
17663,82.89,74.13,VIP,75.79,81.37,Low
15538,38.74,57.95,High Risk,62.17,63.71,High
16182,75.8,63.02,Healthy,66.85,62.9,Low
13491,94.18,92.25,VIP,91.34,86.0,Low
17612,90.96,87.27,VIP,87.14,81.82,Low
16563,80.95,71.73,VIP,74.46,60.11,Low
13495,90.61,87.18,VIP,87.73,63.45,Low
14970,82.87,74.43,VIP,76.22,76.78,Low
16353,94.55,92.98,VIP,91.99,84.73,Low
13659,83.06,74.36,VIP,75.94,79.92,Low
17315,87.7,81.53,VIP,83.02,69.38,Low
13993,90.35,86.25,VIP,86.35,77.74,Low
16153,79.28,69.06,Healthy,71.85,73.83,Low
14852,82.53,73.25,VIP,74.84,83.7,Low
13031,80.28,70.13,VIP,73.02,67.51,Low
13520,90.19,86.03,VIP,86.69,63.93,Low
16067,32.67,47.47,High Risk,54.07,52.04,High
17519,93.69,91.55,VIP,90.96,78.24,Low
13214,80.68,71.25,VIP,73.54,73.63,Low
13722,80.63,70.64,VIP,73.01,73.79,Low
15571,87.91,82.87,VIP,83.35,77.98,Low
13015,77.02,64.93,Healthy,68.2,71.81,Low
14159,89.88,85.51,VIP,85.74,75.33,Low
14530,85.84,78.98,VIP,79.93,79.88,Low
13552,81.31,71.54,VIP,73.42,81.32,Low
17799,87.39,81.55,VIP,82.17,78.69,Low
15367,80.71,70.92,VIP,73.22,70.82,Low
13115,87.31,81.76,VIP,82.9,68.18,Low
13357,37.21,55.19,High Risk,60.25,62.99,High
18194,75.47,62.89,Healthy,66.64,63.16,Low
15485,87.89,82.72,VIP,83.98,59.52,Low
17469,85.68,79.01,VIP,79.8,82.34,Low
16351,84.02,76.27,VIP,77.4,82.34,Low
15680,93.5,91.27,VIP,90.84,71.95,Low
18075,91.97,88.46,VIP,88.18,82.57,Low
