DecisionID,Domain,DecisionType,EntityType,Entity,Product,Country,ProductCategory,Warehouse,BusinessImpact,RevenueOpportunity,CostReduction,InventorySavings,RetentionGain,ProfitImprovement,ForecastRisk,InventoryRisk,CustomerRisk,RevenueRisk,SupplierRisk,OperationalRisk,UrgencyScore,Reasoning,SuggestedAction,SourcePhase,SourceArtifact,BusinessRiskScore,RiskLevel,ImpactScore,FinancialImpact,ImplementationCost,ExpectedROI,ModelConfidence,HistoricalAccuracy,BusinessConfidence,RecommendationReliability,Confidence,PriorityScore,PriorityBand,TimeSensitivity
DI-00011,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,26.822184601846676,30.954716789038216,206.3647785935881,0.0,206.3647785935881,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.,Reorder Today,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.8166796901041862,470.51,1041.52,-54.82,78.68537442584928,78.68537442584928,93.82119391839062,84.13,84.13,44.31,P3,Monitor
DI-00012,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,26.822184601846676,30.954716789038216,206.3647785935881,0.0,206.3647785935881,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane.",Demand Buffer Optimization,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.8166796901041862,470.51,1041.52,-54.82,78.68537442584928,78.68537442584928,93.82119391839062,84.13,84.13,44.31,P3,Monitor
DI-00013,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,26.822184601846676,29.047872680147144,193.6524845343143,0.0,193.6524845343143,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.,Reorder Today,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.7692392667164486,443.18,1038.93,-57.34,78.68537442584928,78.68537442584928,93.8155010675841,84.13,84.13,44.3,P3,Monitor
DI-00014,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,26.822184601846676,29.047872680147144,193.6524845343143,0.0,193.6524845343143,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.,Supplier Review,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.7692392667164486,443.18,1038.93,-57.34,78.68537442584928,78.68537442584928,93.8155010675841,84.13,84.13,44.3,P3,Monitor
DI-00015,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,26.822184601846676,29.047872680147144,193.6524845343143,0.0,193.6524845343143,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane.",Demand Buffer Optimization,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.7692392667164486,443.18,1038.93,-57.34,78.68537442584928,78.68537442584928,93.8155010675841,84.13,84.13,44.3,P3,Monitor
DI-00016,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,26.185743454918764,28.119624251298657,187.4641616753244,0.0,187.4641616753244,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.,Supplier Review,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.745040650141126,429.23,1037.62,-58.63,78.68537442584928,78.68537442584928,93.81259723359506,84.13,84.13,44.29,P3,Monitor
DI-00017,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,26.185743454918764,28.119624251298657,187.4641616753244,0.0,187.4641616753244,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.,Reorder Today,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.745040650141126,429.23,1037.62,-58.63,78.68537442584928,78.68537442584928,93.81259723359506,84.13,84.13,44.29,P3,Monitor
DI-00018,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,26.185743454918764,28.119624251298657,187.4641616753244,0.0,187.4641616753244,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane.",Demand Buffer Optimization,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.745040650141126,429.23,1037.62,-58.63,78.68537442584928,78.68537442584928,93.81259723359506,84.13,84.13,44.29,P3,Monitor
DI-00019,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,22.129813189515268,27.804706969857836,185.3647131323856,0.0,185.3647131323856,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.,Supplier Review,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.7301657504169552,420.66,1036.81,-59.43,78.68537442584928,78.68537442584928,93.81081224562816,84.13,84.13,44.28,P3,Monitor
DI-00020,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,22.129813189515268,27.804706969857836,185.3647131323856,0.0,185.3647131323856,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane.",Demand Buffer Optimization,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.7301657504169552,420.66,1036.81,-59.43,78.68537442584928,78.68537442584928,93.81081224562816,84.13,84.13,44.28,P3,Monitor
DI-00021,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,22.129813189515268,27.804706969857836,185.3647131323856,0.0,185.3647131323856,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.,Reorder Today,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.7301657504169552,420.66,1036.81,-59.43,78.68537442584928,78.68537442584928,93.81081224562816,84.13,84.13,44.28,P3,Monitor
DI-00022,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,14.04620882615566,27.474745948050927,183.1649729870062,0.0,183.1649729870062,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,Projected stock falls below the reorder point while the recommended replenishment quantity is 6937 units.,Reorder Today,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.7079255580006181,407.85,1035.6,-60.62,78.68537442584928,78.68537442584928,93.8081434225382,84.13,84.13,44.28,P3,Monitor
DI-00023,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,14.04620882615566,27.474745948050927,183.1649729870062,0.0,183.1649729870062,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.,Supplier Review,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.7079255580006181,407.85,1035.6,-60.62,78.68537442584928,78.68537442584928,93.8081434225382,84.13,84.13,44.28,P3,Monitor
DI-00024,Inventory,Supplier Escalation,Inventory series,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,14.04620882615566,27.474745948050927,183.1649729870062,0.0,183.1649729870062,0.0,83.20349737414777,0.0,50.0,100.0,71.92209842448867,70.51192355578128,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane.",Demand Buffer Optimization,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,47.6,Medium,0.7079255580006181,407.85,1035.6,-60.62,78.68537442584928,78.68537442584928,93.8081434225382,84.13,84.13,44.28,P3,Monitor
DI-00025,Inventory,Reduce Overstock,Inventory series,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,WHITE HANGING HEART T-LIGHT HOLDER,United Kingdom,Lighting,WH-UK-01,Medium,7449.21565739502,579.5499054115156,965.9165090191927,0.0,965.9165090191927,0.0,56.900955360193976,0.0,50.0,52.35856094231748,56.14057321611639,56.04552544810669,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane.",Demand Buffer Optimization,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,34.63,Low,17.289068861755105,9960.6,1479.72,573.14,78.68537442584928,78.68537442584928,97.98284080822128,85.63,85.63,44.24,P3,Monitor
DI-00026,Churn,Retain High Value Customer,Customer,15760,,Norway,,,Medium,0.0,0.0,0.0,4625.449103418092,1094.4696000000001,0.0,0.0,80.49907685518072,29.950419699905908,0.0,35.0,62.80704685083454,Customer has elevated churn probability and meaningful lifetime value at risk.,VIP Retention,Phase 5 - Enterprise Customer Churn Intelligence,customer_churn_predictions.csv,24.08,Low,9.928325847526297,5719.92,1190.14,380.61,100.0,100.0,100.0,100.0,100.0,43.72,P3,Monitor
DI-00027,Churn,Retain High Value Customer,Customer,15768,,United Kingdom,,,Medium,0.0,0.0,0.0,5418.792830244417,1590.1392,0.0,0.0,64.90947555312458,46.466177438830975,0.0,35.0,58.454321213121816,Customer has elevated churn probability and meaningful lifetime value at risk.,Send Email Campaign,Phase 5 - Enterprise Customer Churn Intelligence,customer_churn_predictions.csv,24.25,Low,12.165725536946363,7008.93,1314.33,433.27,100.0,100.0,100.0,100.0,100.0,43.65,P3,Monitor
DI-00028,Churn,Retain High Value Customer,Customer,17448,,United Kingdom,,,Medium,0.0,0.0,0.0,5026.944832681993,1491.5248000000001,0.0,0.0,64.19694137591522,43.18033634635838,0.0,35.0,56.841129615570324,Customer has elevated churn probability and meaningful lifetime value at risk.,Send Email Campaign,Phase 5 - Enterprise Customer Churn Intelligence,customer_churn_predictions.csv,23.53,Low,11.314407406139914,6518.47,1257.41,418.4,100.0,100.0,100.0,100.0,100.0,42.86,P3,Monitor
DI-00029,Inventory,Supplier Escalation,Inventory series,BROCADE RING PURSE  | United Kingdom | Accessories,BROCADE RING PURSE ,United Kingdom,Accessories,WH-UK-01,Targeted,1260.6272900369936,91.76323170856404,611.7548780570936,0.0,611.7548780570936,0.0,65.0,0.0,50.0,100.0,61.0,60.5,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.,Supplier Review,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,41.92,Low,4.471108530623419,2575.9,1156.48,122.74,78.68537442584928,78.68537442584928,94.8489330236748,84.5,84.5,42.27,P3,Monitor
DI-00030,Inventory,Supplier Escalation,Inventory series,BROCADE RING PURSE  | United Kingdom | Accessories,BROCADE RING PURSE ,United Kingdom,Accessories,WH-UK-01,Targeted,1260.6272900369936,91.76323170856404,611.7548780570936,0.0,611.7548780570936,0.0,65.0,0.0,50.0,100.0,61.0,60.5,Projected stock falls below the reorder point while the recommended replenishment quantity is 167871 units.,Reorder Today,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,41.92,Low,4.471108530623419,2575.9,1156.48,122.74,78.68537442584928,78.68537442584928,94.8489330236748,84.5,84.5,42.27,P3,Monitor
DI-00031,Inventory,Supplier Escalation,Inventory series,BROCADE RING PURSE  | United Kingdom | Accessories,BROCADE RING PURSE ,United Kingdom,Accessories,WH-UK-01,Targeted,1260.6272900369936,91.76323170856404,611.7548780570936,0.0,611.7548780570936,0.0,65.0,0.0,50.0,100.0,61.0,60.5,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane.",Demand Buffer Optimization,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,41.92,Low,4.471108530623419,2575.9,1156.48,122.74,78.68537442584928,78.68537442584928,94.8489330236748,84.5,84.5,42.27,P3,Monitor
DI-00032,Churn,Retain High Value Customer,Customer,12918,,United Kingdom,,,Targeted,0.0,0.0,0.0,3274.5294804271707,725.5975999999999,0.0,0.0,85.95947685518072,17.659569930880796,0.0,35.0,62.054509431675754,Customer has elevated churn probability and meaningful lifetime value at risk.,VIP Retention,Phase 5 - Enterprise Customer Churn Intelligence,customer_churn_predictions.csv,22.85,Low,6.943204465871598,4000.13,1009.66,296.19,100.0,100.0,100.0,100.0,100.0,42.26,P3,Monitor
DI-00033,Churn,Retain High Value Customer,Customer,18052,,United Kingdom,,,Targeted,0.0,0.0,0.0,3232.153220127238,725.0608000000001,0.0,0.0,84.90987685518073,17.641683704341474,0.0,35.0,61.36600925238699,Customer has elevated churn probability and meaningful lifetime value at risk.,VIP Retention,Phase 5 - Enterprise Customer Churn Intelligence,customer_churn_predictions.csv,22.66,Low,6.868718294325546,3957.21,1002.8,294.62,100.0,100.0,100.0,100.0,100.0,42.05,P3,Monitor
DI-00034,Inventory,Supplier Escalation,Inventory series,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,WORLD WAR 2 GLIDERS ASSTD DESIGNS,United Kingdom,Other,WH-UK-01,Targeted,989.0811921222556,75.99592642330207,506.63950948868046,0.0,506.63950948868046,0.0,65.0,0.0,50.0,100.0,61.0,60.5,"Country-level inventory risk is elevated, so increasing demand buffer assumptions can improve resilience for this replenishment lane.",Demand Buffer Optimization,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,41.92,Low,3.60749829332416,2078.36,1109.52,87.32,78.68537442584928,78.68537442584928,94.74529979519889,84.47,84.47,41.97,P3,Monitor
DI-00035,Inventory,Supplier Escalation,Inventory series,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,WORLD WAR 2 GLIDERS ASSTD DESIGNS,United Kingdom,Other,WH-UK-01,Targeted,989.0811921222556,75.99592642330207,506.63950948868046,0.0,506.63950948868046,0.0,65.0,0.0,50.0,100.0,61.0,60.5,"Peer inventory coverage in the same category is materially higher elsewhere, suggesting that internal transfer can reduce urgent buy pressure.",Warehouse Transfer,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,41.92,Low,3.60749829332416,2078.36,1109.52,87.32,78.68537442584928,78.68537442584928,94.74529979519889,84.47,84.47,41.97,P3,Monitor
DI-00036,Inventory,Supplier Escalation,Inventory series,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,WORLD WAR 2 GLIDERS ASSTD DESIGNS,United Kingdom,Other,WH-UK-01,Targeted,989.0811921222556,75.99592642330207,506.63950948868046,0.0,506.63950948868046,0.0,65.0,0.0,50.0,100.0,61.0,60.5,Projected stock falls below the reorder point while the recommended replenishment quantity is 118063 units.,Reorder Today,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,41.92,Low,3.60749829332416,2078.36,1109.52,87.32,78.68537442584928,78.68537442584928,94.74529979519889,84.47,84.47,41.97,P3,Monitor
DI-00037,Inventory,Supplier Escalation,Inventory series,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,WORLD WAR 2 GLIDERS ASSTD DESIGNS,United Kingdom,Other,WH-UK-01,Targeted,989.0811921222556,75.99592642330207,506.63950948868046,0.0,506.63950948868046,0.0,65.0,0.0,50.0,100.0,61.0,60.5,Supplier lead time and variability are high enough to justify a sourcing review and tighter inbound performance management.,Supplier Review,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,41.92,Low,3.60749829332416,2078.36,1109.52,87.32,78.68537442584928,78.68537442584928,94.74529979519889,84.47,84.47,41.97,P3,Monitor
DI-00038,Churn,Retain High Value Customer,Customer,14091,,United Kingdom,,,Targeted,0.0,0.0,0.0,3277.743542206139,765.5944000000001,0.0,0.0,81.54867685518073,18.99226707254984,0.0,35.0,59.65393343125992,Customer has elevated churn probability and meaningful lifetime value at risk.,VIP Retention,Phase 5 - Enterprise Customer Churn Intelligence,customer_churn_predictions.csv,22.3,Low,7.018207545135234,4043.34,1005.62,302.07,100.0,100.0,100.0,100.0,100.0,41.67,P3,Monitor
DI-00039,Inventory,Warehouse Transfer,Warehouse allocation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,0.0,51.59119464839703,206.3647785935881,0.0,206.3647785935881,0.0,83.20349737414777,0.0,50.0,0.0,72.0,68.0,Warehouse allocation score is low enough to justify transfer review.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,Phase 4 - Enterprise Inventory Optimization,inventory_metrics.csv,37.61,Low,0.8059428745442094,464.32,757.27,-38.69,78.68537442584928,78.68537442584928,96.36591314494531,85.05,85.05,41.61,P3,Monitor
DI-00040,Inventory,Warehouse Transfer,Warehouse allocation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,0.0,46.8660404188311,187.4641616753244,0.0,187.4641616753244,0.0,83.20349737414777,0.0,50.0,0.0,72.0,68.0,Warehouse allocation score is low enough to justify transfer review.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,Phase 4 - Enterprise Inventory Optimization,inventory_metrics.csv,37.61,Low,0.7321278677703856,421.79,753.87,-44.05,78.68537442584928,78.68537442584928,96.35705534413245,85.05,85.05,41.59,P3,Monitor
DI-00041,Inventory,Warehouse Transfer,Warehouse allocation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,0.0,48.41312113357858,193.6524845343143,0.0,193.6524845343143,0.0,83.20349737414777,0.0,50.0,0.0,72.0,68.0,Warehouse allocation score is low enough to justify transfer review.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,Phase 4 - Enterprise Inventory Optimization,inventory_metrics.csv,37.61,Low,0.7562959198361123,435.72,754.98,-42.29,78.68537442584928,78.68537442584928,96.35995551038033,85.05,85.05,41.59,P3,Monitor
DI-00042,Inventory,Warehouse Transfer,Warehouse allocation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,0.0,46.3411782830964,185.3647131323856,0.0,185.3647131323856,0.0,83.20349737414777,0.0,50.0,0.0,72.0,68.0,Warehouse allocation score is low enough to justify transfer review.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,Phase 4 - Enterprise Inventory Optimization,inventory_metrics.csv,37.61,Low,0.7239286217305076,417.07,753.49,-44.65,78.68537442584928,78.68537442584928,96.35607143460766,85.05,85.05,41.58,P3,Monitor
DI-00043,Inventory,Warehouse Transfer,Warehouse allocation,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,PACK OF 72 RETRO SPOT CAKE CASES,United Kingdom,Other,WH-UK-01,Targeted,0.0,45.79124324675155,183.1649729870062,0.0,183.1649729870062,0.0,83.20349737414777,0.0,50.0,0.0,72.0,68.0,Warehouse allocation score is low enough to justify transfer review.,Move available stock to the warehouse-market pair with the highest demand coverage gap.,Phase 4 - Enterprise Inventory Optimization,inventory_metrics.csv,37.61,Low,0.7153376940145488,412.12,753.09,-45.28,78.68537442584928,78.68537442584928,96.35504052328174,85.05,85.05,41.58,P3,Monitor
DI-00044,Inventory,Supplier Escalation,Inventory series,BROCADE RING PURSE  | United Kingdom | Accessories,BROCADE RING PURSE ,United Kingdom,Accessories,WH-UK-01,Targeted,504.01081862020226,58.822855109685776,392.1523673979052,0.0,392.1523673979052,0.0,65.0,0.0,50.0,100.0,61.0,60.5,Projected stock falls below the reorder point while the recommended replenishment quantity is 96636 units.,Reorder Today,Phase 4 - Enterprise Inventory Optimization,inventory_recommendations.csv,41.92,Low,2.338290065830593,1347.14,1040.49,29.47,78.68537442584928,78.68537442584928,94.59299480789967,84.41,84.41,41.53,P3,Monitor
